catalogue_no,feature_id,feature_name_en,feature_name_vi,feature_block,feature_subblock,specification_tier,selection_origin,recommended_role,supporting_studies,source_location,formula_or_definition,required_raw_concepts,time_requirement,pu_role,expected_dtype,target_component_risk,catalogue_status,mapping_status,candidate_data_source,candidate_columns,source_authorization,coverage_overall,paired_two_year_coverage,coverage_by_year,coverage_by_board,coverage_by_industry,coverage_by_fold,denominator_diagnostics,temporal_eligibility,target_specific_leakage_decision,final_researcher_decision,decision_reason,notes
95,raw_ibcom,Income Before Extraordinary Items Available for Common,Lợi nhuận trước khoản mục bất thường dành cho cổ đông phổ thông,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Income Before Extraordinary Items Available for Common,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ibcom.
96,raw_icapt,Invested Capital—Total,Tổng vốn đầu tư,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Invested Capital—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: icapt.
97,raw_invt,Inventories—Total,Tổng hàng tồn kho,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Inventories—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: invt.
98,raw_lco,Current Liabilities Other Total,Nợ ngắn hạn khác,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Current Liabilities Other Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: lco.
99,raw_lct,Current Liabilities—Total,Tổng nợ ngắn hạn,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Current Liabilities—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: lct.
100,raw_lo,Liabilities—Other—Total,Nợ phải trả khác,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Liabilities—Other—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: lo.
101,raw_lse,Liabilities and Stockholders' Equity—Total,Tổng nguồn vốn,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Liabilities and Stockholders' Equity—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: lse.
102,raw_lt,Liabilities—Total,Tổng nợ phải trả,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Liabilities—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: lt.
103,raw_ni,Net Income (Loss),Lợi nhuận ròng,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Net Income (Loss),Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ni.
104,raw_niadj,Net Income Adjusted for Common Stock Equivalents,Lợi nhuận ròng điều chỉnh theo cổ phiếu tương đương,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Net Income Adjusted for Common Stock Equivalents,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: niadj.
105,raw_nopi,Nonoperating Income (Expense),Thu nhập hoặc chi phí ngoài hoạt động,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Nonoperating Income (Expense),Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: nopi.
106,raw_nopio,Nonoperating Income (Expense) Other,Thu nhập hoặc chi phí ngoài hoạt động khác,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Nonoperating Income (Expense) Other,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: nopio.
107,raw_np,Notes Payable—Short-Term Borrowings,Vay ngắn hạn,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Notes Payable—Short-Term Borrowings,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: np.
108,raw_oiadp,Operating Income After Depreciation,Lợi nhuận hoạt động sau khấu hao,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Operating Income After Depreciation,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: oiadp.
109,raw_oibdp,Operating Income Before Depreciation,Lợi nhuận hoạt động trước khấu hao,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Operating Income Before Depreciation,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: oibdp.
110,raw_pi,Pretax Income,Lợi nhuận trước thuế,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Pretax Income,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: pi.
111,raw_ppegt,"Property, Plant and Equipment—Total Gross",Nguyên giá tài sản cố định hữu hình,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,"Property, Plant and Equipment—Total Gross",Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ppegt.
112,raw_ppent,"Property, Plant and Equipment—Total Net",Giá trị còn lại của tài sản cố định hữu hình,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,"Property, Plant and Equipment—Total Net",Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: ppent.
113,raw_pstk,Preferred Stock—Total,Tổng cổ phiếu ưu đãi,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Preferred Stock—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: pstk.
114,raw_pstkc,Preferred Stock Convertible,Cổ phiếu ưu đãi chuyển đổi,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Preferred Stock Convertible,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: pstkc.
115,raw_pstkl,Preferred Stock Liquidating Value,Giá trị thanh lý cổ phiếu ưu đãi,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Preferred Stock Liquidating Value,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: pstkl.
116,raw_pstkn,Preferred Stock Nonredeemable,Cổ phiếu ưu đãi không hoàn lại,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Preferred Stock Nonredeemable,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: pstkn.
117,raw_pstkr,Preferred Stock Redeemable,Cổ phiếu ưu đãi có thể hoàn lại,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Preferred Stock Redeemable,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: pstkr.
118,raw_pstkrv,Preferred Stock Redemption Value,Giá trị hoàn lại cổ phiếu ưu đãi,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Preferred Stock Redemption Value,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: pstkrv.
119,raw_re,Retained Earnings,Lợi nhuận sau thuế chưa phân phối,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Retained Earnings,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: re.
120,raw_rect,Receivables—Total,Tổng các khoản phải thu,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Receivables—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: rect.
121,raw_revt,Revenue—Total,Tổng doanh thu,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Revenue—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: revt.
122,raw_sale,Sales/Turnover—Net,Doanh thu thuần,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Sales/Turnover—Net,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: sale.
123,raw_seq,Stockholders' Equity—Total,Tổng vốn chủ sở hữu,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Stockholders' Equity—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: seq.
124,raw_sstk,Sale of Common and Preferred Stock,Phát hành cổ phiếu phổ thông và ưu đãi,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Sale of Common and Preferred Stock,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: sstk.
125,raw_tstk,Treasury Stock—Total,Tổng cổ phiếu quỹ,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Treasury Stock—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: tstk.
126,raw_tstkn,Treasury Stock—Number of Common Shares,Số lượng cổ phiếu quỹ,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Treasury Stock—Number of Common Shares,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: tstkn.
127,raw_txdb,Deferred Taxes—Balance Sheet,Thuế hoãn lại trên bảng cân đối kế toán,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Deferred Taxes—Balance Sheet,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: txdb.
128,raw_txditc,Deferred Taxes and Investment Tax Credit,Thuế hoãn lại và tín dụng thuế đầu tư,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Deferred Taxes and Investment Tax Credit,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: txditc.
129,raw_txp,Income Taxes Payable,Thuế thu nhập phải nộp,Raw accounting universe,As-reported line items,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting universe candidate,WANG2025; ZHPU2025; BAO2020; YANG2026; ZAV2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Income Taxes Payable,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: txp.
130,raw_txt,Income Taxes—Total,Tổng chi phí thuế thu nhập,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Income Taxes—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: txt.
131,raw_wcap,Working Capital—Balance Sheet,Vốn lưu động,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Working Capital—Balance Sheet,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: wcap.
132,raw_xi,Extraordinary Items,Các khoản mục bất thường,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Extraordinary Items,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: xi.
133,raw_xido,Extraordinary Items and Discontinued Operations,Khoản mục bất thường và hoạt động không tiếp tục,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Extraordinary Items and Discontinued Operations,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: xido.
134,raw_xopr,Operating Expenses—Total,Tổng chi phí hoạt động,Raw accounting universe,As-reported line items,R2_OPTIONAL_RAW_78_EXTENSION,COMPLETE_PUBLISHED_RAW_BLOCK,Optional high-dimensional as-reported robustness block,WANG2025,WANG2025 Appendix B; ZHPU2025 Table A2 where applicable,As reported; no ratio transformation at catalogue stage,Operating Expenses—Total,Fiscal year t; lagged versions may be generated only by registered transformations,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,Published source code: xopr.
135,raw_investments_advances_other,Investments and Advances—Other,Đầu tư và ứng trước khác,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Investments and Advances—Other,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
136,raw_construction_in_progress,Construction in Progress,Chi phí xây dựng cơ bản dở dang,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Construction in Progress,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
137,raw_intangible_assets,Intangible Assets,Tài sản vô hình,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Intangible Assets,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
138,raw_surplus_reserve,Surplus Reserve,Quỹ thặng dư hoặc quỹ dự trữ,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Surplus Reserve,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
139,raw_stock_dividend_payable,Stock Dividend Payable,Cổ tức bằng cổ phiếu phải trả,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Stock Dividend Payable,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
140,raw_selling_expenses,Selling Expenses,Chi phí bán hàng,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Selling Expenses,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
141,raw_finance_expenses,Finance Expenses,Chi phí tài chính,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Finance Expenses,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
142,raw_amortisation_expense,Amortisation Expense,Chi phí phân bổ,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Amortisation Expense,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
143,raw_operating_net_cash_flow,Net Cash Flow from Operating Activities,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Net Cash Flow from Operating Activities,Fiscal year t or pre-release market window,latent_risk_content,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
